;Team_id;Year;Week;Team;Manager;FGM;FGA;FG%;FTM;FTA;FT%;3PTM;PTS;REB;AST;ST;BLK;TO;GP;Win;Score;Matchup_Wins;Week_Result
0;1;2020;1;Falmaravilhas;Joao;214;465;0.46;111;135;0.822;54;593;157;155;27;16;-62;32;1;32.0;4.0;1
1;2;2020;1;Goat James;Nicholas;211;486;0.434;120;143;0.839;74;616;169;169;36;17;-80;33;1;34.0;4.0;1
2;3;2020;1;Chino Hills;Gabriel;178;377;0.472;68;89;0.764;44;468;176;114;43;30;-77;31;0;32.0;3.0;0
3;4;2020;1;stayfreak7;Manoel;232;454;0.511;136;190;0.716;23;623;283;149;41;32;-104;36;1;39.0;7.0;1
4;5;2020;1;Jimmy's Team;James;140;322;0.435;89;129;0.69;41;410;183;115;30;22;-61;29;1;25.5;2.0;1
5;6;2020;1;Hard KAT Maniacs;Fis;156;343;0.455;64;82;0.78;35;411;183;97;25;21;-72;30;0;18.5;0.0;0
6;7;2020;1;Jonas's Crazy Team;Jonas;277;561;0.494;121;163;0.742;69;744;199;98;37;25;-65;34;0;43.0;6.0;0
7;8;2020;1;Antonio's Team;Antonio;201;424;0.474;78;97;0.804;60;540;181;111;26;14;-68;34;0;28.0;2.0;0
8;1;2020;2;Falmaravilhas;Joao;248;565;0.439;138;176;0.784;71;705;243;178;30;29;-105;46;0;20.5;0.0;0
9;2;2020;2;Goat James;Nicholas;249;527;0.472;151;175;0.863;90;739;198;161;31;19;-94;40;0;30.0;2.0;0
10;3;2020;2;Chino Hills;Gabriel;281;628;0.447;137;166;0.825;88;787;295;171;58;40;-99;44;1;42.5;7.0;1
11;4;2020;2;stayfreak7;Manoel;224;499;0.449;120;163;0.736;47;615;305;184;54;29;-92;42;0;28.5;2.0;0
12;5;2020;2;Jimmy's Team;James;269;533;0.505;126;164;0.768;73;737;307;218;42;22;-113;43;1;34.5;5.0;1
13;6;2020;2;Hard KAT Maniacs;Fis;242;519;0.466;99;142;0.697;73;656;258;119;45;39;-71;46;0;27.5;2.0;0
14;7;2020;2;Jonas's Crazy Team;Jonas;297;619;0.48;134;180;0.744;86;814;237;129;44;32;-78;46;1;34.0;5.0;1
15;8;2020;2;Antonio's Team;Antonio;256;532;0.481;93;106;0.877;88;693;206;151;48;14;-73;44;1;34.5;5.0;1
16;1;2020;3;Falmaravilhas;Joao;274;568;0.482;142;173;0.821;60;750;245;207;48;23;-101;45;0;30.5;3.0;0
17;2;2020;3;Goat James;Nicholas;317;685;0.463;174;214;0.813;87;895;296;221;44;26;-88;50;1;39.5;6.0;1
18;3;2020;3;Chino Hills;Gabriel;272;569;0.478;86;120;0.717;89;719;270;163;49;49;-87;46;1;34.0;6.0;1
19;4;2020;3;stayfreak7;Manoel;292;586;0.498;116;176;0.659;32;732;362;181;42;23;-112;48;0;24.5;1.0;0
20;5;2020;3;Jimmy's Team;James;257;507;0.507;125;169;0.74;61;700;311;172;29;21;-91;40;0;22.5;0.0;0
21;6;2020;3;Hard KAT Maniacs;Fis;272;622;0.437;114;154;0.74;90;748;260;154;46;45;-82;47;1;33.5;3.0;1
22;7;2020;3;Jonas's Crazy Team;Jonas;309;634;0.487;154;177;0.87;87;859;231;133;39;30;-90;45;0;31.5;4.0;0
23;8;2020;3;Antonio's Team;Antonio;275;566;0.486;100;119;0.84;92;742;256;189;38;22;-80;44;1;36.0;5.0;1
24;1;2020;4;Falmaravilhas;Joao;247;543;0.455;125;156;0.801;65;684;233;159;29;34;-67;41;1;39.5;7.0;1
25;2;2020;4;Goat James;Nicholas;242;525;0.461;114;131;0.87;77;675;183;156;31;21;-97;40;1;32.0;2.0;1
26;3;2020;4;Chino Hills;Gabriel;197;421;0.468;84;108;0.778;57;535;225;116;47;45;-53;41;0;34.5;4.5;0
27;4;2020;4;stayfreak7;Manoel;237;471;0.503;125;180;0.694;41;640;250;175;38;29;-96;40;0;35.5;4.0;0
28;5;2020;4;Jimmy's Team;James;250;522;0.479;94;120;0.783;56;650;254;148;40;22;-77;36;1;38.0;6.0;1
29;6;2020;4;Hard KAT Maniacs;Fis;164;348;0.471;76;104;0.731;39;443;205;80;29;20;-50;29;0;18.5;0.0;0
30;7;2020;4;Jonas's Crazy Team;Jonas;199;398;0.5;92;114;0.807;64;554;168;115;28;19;-53;36;0;25.5;1.5;0
31;8;2020;4;Antonio's Team;Antonio;215;465;0.462;74;95;0.779;75;579;203;157;38;16;-70;41;1;28.5;3.0;1
32;1;2020;5;Falmaravilhas;Joao;269;525;0.512;134;171;0.784;78;750;231;160;26;28;-78;41;1;41.0;6.0;1
33;2;2020;5;Goat James;Nicholas;248;534;0.464;134;153;0.876;75;705;206;172;28;24;-101;42;0;33.5;3.0;0
34;3;2020;5;Chino Hills;Gabriel;244;529;0.461;107;137;0.781;80;675;243;145;50;28;-92;42;1;35.5;5.0;1
35;4;2020;5;stayfreak7;Manoel;273;533;0.512;161;212;0.759;34;741;324;168;32;21;-93;39;1;32.0;4.0;1
36;5;2020;5;Jimmy's Team;James;264;544;0.485;126;157;0.803;50;704;307;171;43;41;-92;42;1;39.5;6.0;1
37;6;2020;5;Hard KAT Maniacs;Fis;182;395;0.461;76;100;0.76;52;492;206;130;27;27;-62;38;0;22.0;2.0;0
38;7;2020;5;Jonas's Crazy Team;Jonas;254;510;0.498;164;200;0.82;51;723;198;113;32;17;-79;38;0;27.0;1.5;0
39;8;2020;5;Antonio's Team;Antonio;224;491;0.456;93;107;0.869;67;608;184;128;30;17;-65;36;0;21.5;0.5;0
40;1;2020;6;Falmaravilhas;Joao;271;567;0.478;160;197;0.812;85;787;210;157;34;31;-89;43;1;33.5;3.0;1
41;2;2020;6;Goat James;Nicholas;317;639;0.496;120;157;0.764;134;888;217;200;26;23;-105;44;1;32.5;4.5;1
42;3;2020;6;Chino Hills;Gabriel;291;622;0.468;143;186;0.769;71;796;280;152;50;41;-76;47;1;41.0;7.0;1
43;4;2020;6;stayfreak7;Manoel;254;559;0.454;123;171;0.719;43;674;358;200;44;27;-99;43;0;25.5;0.5;0
44;5;2020;6;Jimmy's Team;James;247;495;0.499;103;123;0.837;52;649;272;143;39;29;-86;43;1;34.5;5.0;1
45;6;2020;6;Hard KAT Maniacs;Fis;190;401;0.474;101;126;0.802;47;528;211;100;36;29;-51;42;0;24.5;2.0;0
46;7;2020;6;Jonas's Crazy Team;Jonas;250;495;0.505;148;189;0.783;65;713;156;115;30;18;-74;42;0;26.0;1.0;0
47;8;2020;6;Antonio's Team;Antonio;277;574;0.483;129;144;0.896;104;787;212;165;28;15;-81;41;0;34.5;5.0;0
48;1;2020;7;Falmaravilhas;Joao;294;617;0.476;140;167;0.838;77;805;225;188;25;28;-95;44;0;25.0;2.0;0
49;2;2020;7;Goat James;Nicholas;291;589;0.494;163;188;0.867;94;839;240;241;44;29;-87;46;1;48.0;6.0;1
50;3;2020;7;Chino Hills;Gabriel;287;591;0.486;101;127;0.795;92;767;272;135;42;40;-100;48;0;27.0;3.0;0
51;4;2020;7;stayfreak7;Manoel;312;581;0.537;112;151;0.742;49;785;304;201;41;26;-103;46;0;28.5;2.5;0
52;5;2020;7;Jimmy's Team;James;289;586;0.493;106;138;0.768;90;774;312;142;39;36;-81;46;1;33.0;4.0;1
53;6;2020;7;Hard KAT Maniacs;Fis;255;514;0.496;97;136;0.713;56;663;273;158;45;45;-69;49;1;35.0;6.0;1
54;7;2020;7;Jonas's Crazy Team;Jonas;282;639;0.441;176;212;0.83;61;801;202;162;36;26;-89;45;0;20.5;0.5;0
55;8;2020;7;Antonio's Team;Antonio;301;617;0.488;114;129;0.884;95;811;232;160;28;20;-70;48;1;35.0;4.0;1
